[debug] PhaseRunner.scala:82 Success [id => dc, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/dc/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/dc),TsIdentLibrarySimple(dc)),TsIdentModule(None,List(dc))) [id => dc, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(None,List(dc)) [id => dc, phase => typescript] 
[info ] ExpandCallables.scala:51 Expanded g into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded mouseZoomable into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded x into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded xUnits into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded xAxis into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded elasticX into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded xAxisPadding into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded useRightYAxis into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded xAxisLabel into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
[info ] ExpandCallables.scala:51 Expanded yAxisLabel into 2 methods [id => dc, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(dc) / TsDeclNamespace(dc) / TsDeclInterface(CoordinateGridMixin))] 
