[info ] ExpandCallables.scala:57 Expanded getObject into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] ExpandCallables.scala:57 Expanded getObjectAsString into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] ExpandCallables.scala:57 Expanded getObjectAsJSON into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] ExpandCallables.scala:57 Expanded getMetadata into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] ExpandCallables.scala:57 Expanded putFile into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] ExpandCallables.scala:57 Expanded putMetadata into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] ExpandCallables.scala:57 Expanded putFiles into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] ExpandCallables.scala:57 Expanded saveAllArtifacts into 2 methods [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeStorage) / TsDeclInterface(ErrorOnlyCallback))] 
[info ] PreferTypeAlias.scala:118 Simplified to function type alias [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeStorage) / TsDeclInterface(CommitHashCallback))] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Message) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmePlugin) / TsDeclClass(PluginBase) / TsMemberProperty(sendNotification) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MetadataHash) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(getArtifact) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MetadataHashCallback) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(getObjectAsJSON) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MetadataHashCallbackResultCallback) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(getMetadata) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_O) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(putFiles) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MetadataHashCallbackResultCallbackContentString) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(getObjectAsString) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MetadataHashSubpath) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(getSubObject) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MetadataDescriptor) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(putMetadata) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_MetadataHashCallbackSubpath) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(getObject) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Callback) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(saveAllArtifacts) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Name) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Blobs) / TsDeclClass(BlobClient) / TsMemberProperty(putFile) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Files) [id => webgme, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(GmeClasses) / TsDeclInterface(Artifact) / TsMemberProperty(addFilesAsSoftLinks) / TsTypeObject())] 
