[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CheckScript) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(multisig) / TsTypeObject() / TsMemberProperty(output) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Input) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(multisig) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_CheckScript) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(scriptHash) / TsTypeObject() / TsMemberProperty(input) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(scriptHash) / TsTypeObject() / TsMemberProperty(output) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_InputOutput) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(scriptHash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(witnessPubKeyHash) / TsTypeObject() / TsMemberProperty(input) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(witnessPubKeyHash) / TsTypeObject() / TsMemberProperty(output) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_InputOutputAnonCheck) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(witnessPubKeyHash) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(pubKeyHash) / TsTypeObject() / TsMemberProperty(input) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Check) [id => bitcoinjs-lib, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(bitcoinjs-lib) / TsDeclNamespace(script) / TsDeclVar(pubKeyHash) / TsTypeObject() / TsMemberProperty(output) / TsTypeObject())] 
