[info ] InferredDependency.scala:22 Inferred dependencies Set(TsIdentLibrarySimple(node)) for TsIdentLibraryScoped(octokit,Some(rest)) [id => @octokit/rest, phase => typescript, file => ../@octokit/rest/index.d.ts] 
[debug] PhaseRunner.scala:84 Success [id => @octokit/rest, phase => typescript] 
[info ] Phase1ReadTypescript.scala:171 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/@octokit/rest/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/@octokit/rest),TsIdentLibraryScoped(octokit,Some(rest))),TsIdentModule(Some(octokit),List(rest))) [id => @octokit/rest, phase => typescript] 
[info ] InferredDefaultModule.scala:39 Inferred module TsIdentModule(Some(octokit),List(rest)) [id => @octokit/rest, phase => typescript] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsGetRepoInstallationParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(getRepoInstallation) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsFindRepoInstallationParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(findRepoInstallation) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsGetUserInstallationParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(getUserInstallation) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsFindUserInstallationParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(findUserInstallation) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsCreateFromManifestParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(createFromManifest) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsListReposParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(listRepos) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsListInstallationsForAuthenticatedUserParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(listInstallationsForAuthenticatedUser) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsListInstallationReposForAuthenticatedUserParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(listInstallationReposForAuthenticatedUser) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsAddRepoToInstallationParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(addRepoToInstallation) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsRemoveRepoFromInstallationParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(removeRepoFromInstallation) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsCreateContentAttachmentParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(createContentAttachment) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsListPlansParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(listPlans) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsListPlansStubbedParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(listPlansStubbed) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsListAccountsUserOrOrgOnPlanParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(listAccountsUserOrOrgOnPlan) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsListAccountsUserOrOrgOnPlanStubbedParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(listAccountsUserOrOrgOnPlanStubbed) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:41 Extracted anonymous interface TsIdentSimple(Anon_EndpointParamsAppsCheckAccountIsAssociatedWithAnyParams) [id => @octokit/rest, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(@octokit/rest) / TsDeclInterface(Octokit) / TsMemberProperty(apps) / TsTypeObject() / TsMemberProperty(checkAccountIsAssociatedWithAny) / TsTypeObject())] 
