[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tAt) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tAtLength) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(translate) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(translate) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toPoints) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toPolyline) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toString) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(throughPoints) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Curve))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(bbox) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(center) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(clone) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(containsPoint) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(equals) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(inflate) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(intersectionWithLine) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(intersectionWithLineFromCenterToPoint) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(normalizedDistance) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(tangentTheta) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(toString) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(fromRect) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Ellipse))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => jointjs, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(jointjs) / TsDeclNamespace(g) / TsDeclClass(Line))] 
