[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclFunction(model) / TsFunSig() / TsTypeParam() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclFunction(model) / TsFunSig() / TsTypeParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclVar(Model) / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclVar(Model) / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(TSchema) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(ConnectionBase) / TsMemberFunction(createCollection) / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(ConnectionBase) / TsMemberFunction(createCollection) / TsFunSig() / TsFunParam() / TsTypeFunction() / TsFunSig() / TsFunParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(ConnectionBase) / TsMemberFunction(model) / TsFunSig() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(ConnectionBase) / TsMemberFunction(model) / TsFunSig() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(ConnectionBase) / TsMemberFunction(model) / TsFunSig() / TsTypeParam() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(ConnectionBase) / TsMemberFunction(model) / TsFunSig() / TsTypeParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(ConnectionBase) / TsMemberProperty(models) / TsTypeObject() / TsMemberIndex() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(ConnectionBase) / TsMemberProperty(models) / TsTypeObject() / TsMemberIndex() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeUnion() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeUnion() / TsTypeRef())] 
[debug] DefaultedTParams.scala:29 Defaulting type parameter TsIdentSimple(QueryHelpers) at TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeRef()) [id => mongoose, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(mongoose) / TsDeclInterface(Schema) / TsMemberFunction(pre) / TsFunSig() / TsTypeParam() / TsTypeRef())] 
