[debug] PhaseRunner.scala:82 Success [id => c3, phase => typescript] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_ExpandAnonEnabledR) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(PointOptions) / TsMemberProperty(focus) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_R) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(PointOptions) / TsMemberProperty(select) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_WithLegend) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberFunction(show) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_WithLegend) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberFunction(hide) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_WithLegend) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberFunction(toggle) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Value) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject() / TsMemberProperty(keys) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Axes) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Value) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberFunction(flow) / TsFunSig() / TsFunParam() / TsTypeObject() / TsMemberProperty(keys) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Columns) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberFunction(flow) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:37 Extracted anonymous interface TsIdentSimple(Anon_Class) [id => c3, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(c3) / TsDeclInterface(ChartAPI) / TsMemberProperty(regions) / TsTypeObject() / TsMemberFunction(remove) / TsFunSig() / TsFunParam() / TsTypeObject())] 
