[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Kv) / TsDeclInterface(DeleteOptions))] 
[info ] ExpandCallables.scala:57 Expanded get into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv))] 
[info ] ExpandCallables.scala:57 Expanded keys into 5 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv))] 
[info ] ExpandCallables.scala:57 Expanded set into 6 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv))] 
[info ] ExpandCallables.scala:57 Expanded del into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv))] 
[info ] ExpandCallables.scala:57 Expanded delete into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv))] 
[info ] PreferTypeAlias.scala:112 Simplified to type alias [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Session) / TsDeclInterface(GetOptions))] 
[info ] ExpandCallables.scala:57 Expanded create into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Session))] 
[info ] ExpandCallables.scala:57 Expanded destroy into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Session))] 
[info ] ExpandCallables.scala:57 Expanded info into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Session))] 
[info ] ExpandCallables.scala:57 Expanded get into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Session))] 
[info ] ExpandCallables.scala:57 Expanded node into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Session))] 
[info ] ExpandCallables.scala:57 Expanded list into 3 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Session))] 
[info ] ExpandCallables.scala:57 Expanded renew into 4 methods [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Session))] 
