[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(constructor) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getResourceIdentifier) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getReference) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getExports) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getWarnings) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getErrors) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(updateHash) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(disconnect) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(compare) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Dependency))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(isChild) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Compilation))] 
[info ] ExpandTypeParams.scala:61 Expanding 1 members for TsIdentSimple(getStats) [id => webpack, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(webpack) / TsDeclNamespace(compilation) / TsDeclClass(Compilation))] 
