[debug] PhaseRunner.scala:78 Success [id => office-js, phase => typescript] 
[info ] Phase1ReadTypescript.scala:152 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/DefinitelyTyped/types/office-js/index.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/DefinitelyTyped/types/office-js),TsIdentLibrarySimple(office-js)),TsIdentModule(None,List(office-js))) [id => office-js, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:190 Processing TsIdentLibrarySimple(office-js) [id => office-js, phase => typescript] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ConditionalFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartTrendlineFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(DocumentProperties) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ConditionalRangeFont) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(RangeFont) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(Binding) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartGridlinesFormat) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartFormatString) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(ChartTrendlineLabel) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Select) [id => office-js, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(Excel) / TsDeclClass(RowColumnPivotHierarchy) / TsMemberFunction(load) / TsFunSig() / TsFunParam() / TsTypeObject())] 
