[debug] PhaseRunner.scala:84 Success [id => typescript-stl, phase => typescript] 
[info ] Phase1ReadTypescript.scala:160 Preprocessing TsHelperFile(InFile(/home/tso/tmp/tso-cache/npm/node_modules/typescript-stl/lib/typescript-stl.d.ts),FromFolder(InFolder(/home/tso/tmp/tso-cache/npm/node_modules/typescript-stl),TsIdentLibrarySimple(typescript-stl)),TsIdentModule(None,List(typescript-stl))) [id => typescript-stl, phase => typescript] 
[warn ] Phase1ReadTypescript.scala:184 Processing TsIdentLibrarySimple(typescript-stl) [id => typescript-stl, phase => typescript] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(swap_ranges) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(reverse) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(reverse_copy) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(rotate) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(rotate_copy) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(random_shuffle) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(shuffle) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(sort) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(sort) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
[info ] ExpandTypeParams.scala:74 Expanding 1 members for TsIdentSimple(partial_sort) [id => typescript-stl, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclNamespace(std))] 
